qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1_formatted,q1_milliseconds,q2_formatted,q2_milliseconds,q3_formatted,q3_milliseconds
114,23,3,3,7,6,01:15.9,01:15.3,01:16.5,01:15.935,75935,01:15.287,75287,01:16.548,76548
115,23,4,4,5,7,01:16.6,01:15.8,01:16.9,01:16.646,76646,01:15.827,75827,01:16.852,76852
116,23,15,7,11,8,01:16.3,01:15.6,01:17.2,01:16.306,76306,01:15.598,75598,01:17.203,77203
117,23,17,9,10,9,01:16.1,01:15.7,01:17.3,01:16.074,76074,01:15.745,75745,01:17.343,77343
118,23,14,9,9,10,01:16.1,01:15.8,\N,01:16.086,76086,01:15.839,75839,,
119,23,10,7,12,11,01:16.3,01:15.9,\N,01:16.285,76285,01:15.907,75907,,
120,23,18,11,16,12,01:16.3,01:16.1,\N,01:16.259,76259,01:16.101,76101,,
121,23,2,2,3,13,01:16.6,01:16.5,\N,01:16.650,76650,01:16.455,76455,,
122,23,6,3,8,14,01:16.8,01:16.5,\N,01:16.756,76756,01:16.479,76479,,
123,23,22,11,17,15,01:16.2,01:16.5,\N,01:16.208,76208,01:16.537,76537,,
124,23,7,5,14,16,01:16.8,\N,\N,01:16.806,76806,,,,
125,23,12,4,6,17,01:16.9,\N,\N,01:16.933,76933,,,,
126,23,20,5,15,18,01:17.0,\N,\N,01:16.955,76955,,,,
127,23,16,10,20,19,01:17.2,\N,\N,01:17.225,77225,,,,
128,23,21,10,21,20,01:17.8,\N,\N,01:17.823,77823,,,,
129,24,1,1,22,1,01:16.9,01:17.0,01:17.9,01:16.909,76909,01:17.034,77034,01:17.886,77886
130,24,9,2,4,2,01:17.5,01:17.7,01:18.5,01:17.471,77471,01:17.679,77679,01:18.498,78498
131,24,8,6,1,3,01:17.3,01:17.4,01:18.7,01:17.301,77301,01:17.364,77364,01:18.735,78735
132,24,4,4,5,4,01:17.4,01:17.5,01:18.7,01:17.415,77415,01:17.488,77488,01:18.746,78746
133,24,3,3,7,5,01:18.0,01:17.9,01:18.8,01:17.991,77991,01:17.891,77891,01:18.844,78844
134,24,13,6,2,6,01:17.2,01:17.4,01:19.0,01:17.231,77231,01:17.353,77353,01:19.048,79048
135,24,5,1,23,7,01:17.3,01:17.7,01:19.1,01:17.287,77287,01:17.684,77684,01:19.089,79089
136,24,2,2,3,8,01:18.1,01:17.8,01:19.6,01:18.082,78082,01:17.781,77781,01:19.633,79633
